,survived,pclass,age,sibsp,parch,fare,adult_male,alone,female,male,C,Q,S,Cherbourg,Queenstown,Southampton,no,yes,child,man,woman,First,Second,Third
0,False,3,22.0,1,0,7.25,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
1,True,1,38.0,1,0,71.2833,False,False,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0
2,True,3,26.0,0,0,7.925,False,True,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
3,True,1,35.0,1,0,53.1,False,False,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0
4,False,3,35.0,0,0,8.05,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
5,False,3,33.0,0,0,8.4583,True,True,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
6,False,1,54.0,0,0,51.8625,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
7,False,3,2.0,3,1,21.075,False,False,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
8,True,3,27.0,0,2,11.1333,False,False,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
9,True,2,14.0,1,0,30.0708,False,False,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
10,True,3,4.0,1,1,16.7,False,False,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
11,True,1,58.0,0,0,26.55,False,True,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0
12,False,3,20.0,0,0,8.05,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
13,False,3,39.0,1,5,31.275,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
14,False,3,14.0,0,0,7.8542,False,True,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
15,True,2,55.0,0,0,16.0,False,True,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
16,False,3,2.0,4,1,29.125,False,False,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1
17,True,2,33.0,0,0,13.0,True,True,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0
